layout,problem,m,n,k,required,threads,blas,impl,time_ms,gflops,speedup,correct,timestamp,hostname,file
col-major,8x16x16000,8,16,16000,True,96,mkl,reference,0.029529,138.71207,1.0,True,2026-06-23T21:22:11,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_col.json
col-major,32x16000x16,32,16000,16,True,1,mkl,reference,0.332507,49.274092,1.0,True,2026-06-23T21:21:14,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_col.json
col-major,32x16000x16,32,16000,16,True,2,mkl,reference,0.172269,95.107035,1.0,True,2026-06-23T21:21:31,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_col.json
col-major,32x16000x16,32,16000,16,True,4,mkl,reference,0.087946,186.29712,1.0,True,2026-06-23T21:21:42,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_col.json
col-major,32x16000x16,32,16000,16,True,8,mkl,reference,0.034243,478.468494,1.0,True,2026-06-23T21:21:49,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_col.json
col-major,32x16000x16,32,16000,16,True,16,mkl,reference,0.023041,711.08845,1.0,True,2026-06-23T21:21:55,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_col.json
col-major,32x16000x16,32,16000,16,True,24,mkl,reference,0.018859,868.77567,1.0,True,2026-06-23T21:22:00,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_col.json
col-major,32x16000x16,32,16000,16,True,48,mkl,reference,0.014253,1149.538088,1.0,True,2026-06-23T21:22:06,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_col.json
col-major,32x16000x16,32,16000,16,True,96,mkl,reference,0.012356,1326.010857,1.0,True,2026-06-23T21:22:11,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_col.json
col-major,144x144x144,144,144,144,True,1,mkl,reference,0.079852,74.787724,1.0,True,2026-06-23T21:21:14,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_col.json
col-major,144x144x144,144,144,144,True,2,mkl,reference,0.038548,154.924398,1.0,True,2026-06-23T21:21:31,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_col.json
col-major,144x144x144,144,144,144,True,4,mkl,reference,0.02384,250.502063,1.0,True,2026-06-23T21:21:42,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_col.json
col-major,144x144x144,144,144,144,True,8,mkl,reference,0.017962,332.475323,1.0,True,2026-06-23T21:21:49,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_col.json
col-major,144x144x144,144,144,144,True,16,mkl,reference,0.01622,368.193745,1.0,True,2026-06-23T21:21:55,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_col.json
